Instance,Greedy_distance,Greedy_time,SA_distance,SA_time
d198.tsp,19341.12477787181,0.0024776458740234375,145834.7030232195,0.011239290237426758
berlin52.tsp,10012.234332430759,0.0002002716064453125,16894.624877097976,0.0030260086059570312
ch150.tsp,7628.565170423385,0.001169443130493164,39494.14906383159,0.008080482482910156
rl11849.tsp,1137544.2876003499,16.925829648971558,86593200.96102342,6.211163759231567
rl5934.tsp,695824.191654326,3.8737175464630127,41798140.22547053,1.5818324089050293
rl1323.tsp,330634.1505711284,0.13269495964050293,9318115.216196887,0.13227295875549316
u2319.tsp,277233.48885553214,0.32582855224609375,5702943.584281443,0.32509803771972656
rl1304.tsp,322598.1110794264,0.12466216087341309,8957111.11625757,0.13645315170288086
rl1889.tsp,386396.20901744725,0.28253817558288574,14003343.12673081,0.24674320220947266
rl5915.tsp,691234.2468232365,3.091428279876709,41695347.2084615,1.4870450496673584
